,date,day,filename,flag,id,keywords,link,month,place,publisher,year
0,2018/03/29,29,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-03-29T11:04:31+05:30->64111.txt,0,64111,[],http://timesofindia.indiatimes.com//city/nagpur/beedi-biz-slump-hits-demand-for-gadchirolis-tendu-leaves/articleshow/63523711.cms,03,nagpur,TOI,2018
1,2017/01/24,24,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-01-24T08:15:20+05:30->130425.txt,0,130425,[],http://timesofindia.indiatimes.com//india/jk-government-identifies-100-acres-in-valley-to-house-exiled-pandits/articleshow/56746676.cms,01,NA,TOI,2017
2,2017/01/31,31,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-01-31T11:36:55+05:30->135704.txt,0,135704,[],http://timesofindia.indiatimes.com//city/kolhapur/house-break-in-menace-continues-in-city/articleshow/56880740.cms,01,kolhapur,TOI,2017
3,2018/03/26,26,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-03-26T13:20:49+05:30->62302.txt,0,62302,[],http://timesofindia.indiatimes.com//city/hubballi/smart-city-iconic-building-proposed-at-hosur-cross/articleshow/63463451.cms,03,hubballi,TOI,2018
4,2017/02/20,20,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-02-20T05:02:01+05:30->150002.txt,0,150002,[],http://timesofindia.indiatimes.com//city/mumbai/metro-being-designed-to-benefit-outsiders-not-mumbaikars-says-raj-thackeray/articleshow/57242137.cms,02,mumbai,TOI,2017
5,2018/04/15,15,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-04-15T13:20:09+05:30->76904.txt,0,76904,[],http://timesofindia.indiatimes.com//world/us/city/articleshow/63769890.cms,04,NA,TOI,2018
6,2017/07/29,29,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-07-29T09:48:49+05:30->266297.txt,0,266297,[],http://timesofindia.indiatimes.com//city/udaipur/dozens-of-villages-cut-off-due-to-rain-in-udaipur-dist/articleshow/59818522.cms,07,udaipur,TOI,2017
7,2017/02/28,28,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-02-28T14:57:12+05:30->155998.txt,0,155998,[],http://timesofindia.indiatimes.com//city/ahmedabad/two-faces-of-riots-neither-victim-nor-perpetrator/articleshow/57384007.cms,02,ahmedabad,TOI,2017
8,2017/01/23,23,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-01-23T14:14:18+05:30->129928.txt,0,129928,[],http://timesofindia.indiatimes.com//city/chennai/jallikattu-law-will-be-passed-tamil-nadu-governor-says-in-assembly/articleshow/56731784.cms,01,chennai,TOI,2017
9,2017/01/28,28,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-01-28T12:10:17+05:30->132878.txt,0,132878,[],http://timesofindia.indiatimes.com//city/ranchi/two-arrested-for-helping-plfi-leader/articleshow/56819328.cms,01,ranchi,TOI,2017
10,2017/05/19,19,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2017-05-19T08:34:06+05:30->214636.txt,0,214636,[],http://timesofindia.indiatimes.com//city/mumbai/shocked-by-survey-railways-to-hire-clean-up-marshals/articleshow/58744499.cms,05,mumbai,TOI,2017
11,2018/02/05,05,/Users/Sahit/Documents/GitHub/Article-Analysis/webscrapper/webscrapper/article_data/2018-02-05T12:50:40+05:30->26206.txt,0,26206,[],http://timesofindia.indiatimes.com//city/chennai/tn-college-bus-carrying-40-students-falls-into-pit-as-driver-suffers-epileptic-seizures/articleshow/62786405.cms,02,tirupur,TOI,2018
