title,date,content,url
"Broad daylight murder sends shock waves: Murders on the rise, CCTV cameras not installed: Is Nagpur safe?",No Date,9 most unique and rare birds in the world 10 foods that contain highest protein per 100 grams 8 Indian cities where non-vegetarian food is banned How to make South-Indian style Chicken Pakora 10 lines from Shakespeare's sonnets that are profound life lessons Most beautiful hill stations in the Western Ghats for a serene vacation 8 yoga poses that can reduce waist size effectively 7 home remedies to remove yellow stains from teeth 10 books that will help transform your life in the next 3 months Ganesh Chaturthi 2024: 10 South Indian dishes to make for Lord Ganesha,http://timesofindia.indiatimes.com//city/nagpur/broad-daylight-murder-sends-shock-waves/articleshow/56953370.cms
Army sets up WhatsApp number for direct complaints to Gen Bipin Rawat,No Date,How to make vrat-friendly Coconut Peanut Chutney at home How to make your 'Curry patta' plant grow faster 10 plants that can be grown without soil (you only need water!) 10 countries known for their wildlife ​10 things you should never say to an older person​ ​10 stunningly beautiful parrots in the world​ 10 most iconic animals from the world of fiction and literature 10 animals that live in water 10 types of vegetable-based cheela for healthy breakfast 8 signs a child is smarter than average,http://timesofindia.indiatimes.com//india/army-sets-up-whatsapp-number-for-direct-complaints-to-gen-bipin-rawat/articleshow/56816816.cms
Youth shoots self during video chat with girlfriend,No Date,"10 indoor plants that easily live for over 50 years! 8 things kids secretly observe in their parents How to make iron and protein rich Spinach Dosa at home Are you consuming synthetic paneer? 7 smart ways to recognize fake paneer at home 8 Japanese techniques to stop overthinking and ease your mind ​8 health benefits of orange peel we are too late to learn​ ​9 health benefits of mango leaves people are learning about now​ How to stay calm under pressure, as per psychology 9 most beautiful train journeys in South India 11 animals whose name starts with the letter 'H'",http://timesofindia.indiatimes.com//city/patna/youth-shoots-self-during-video-chat-with-girlfriend/articleshow/62700294.cms
Apple is the richest company but has just one billionaire in its ranks,No Date,"10 Most Affordable Cities in India to Buy a House The Pros and Cons of Investing in Value Stocks Most Visited Monuments in India Investing in Small-Cap Stocks: Top 10 Tips for Absolute Beginners 10 Ways to Earn Money Online by Selling Physical Products Richest Cricket Players Across the World 10 Things You Didn’t Know About Warren Buffett’s Investment Process Top 10 Benefits of Investing in Small-Cap Stocks Priyanka Chopra Net Worth: Know How Rich is Global Actress How to Make Money Online With Writing and Blogging? A SIP calculator is a simple tool that allows individuals to get an idea of the returns on their This financial tool allows one to resolve their queries related to Public Provident Fund account. When investing in a fixed deposit, the amount you deposit earns interest as per the prevailing... The National Pension System or NPS is a measure to introduce a degree of financial stability... Mutual Funds are one of the most incredible investment strategies that offer better returns...",http://timesofindia.indiatimes.com//business/international-business/apple-is-the-richest-company-but-has-just-one-billionaire-in-its-ranks/articleshow/63725750.cms
Drug peddler arrested with 1kg heroin,No Date,10 safest countries if World War III breaks out ​9 healthy reasons to eat soaked chia seeds everyday​ How to grow Mulberries in the home garden or balcony 9 reasons to eat banana daily in the morning How to make Chili Chicken Fried Rice at home​ How to make under 15 minutes Egg Fried Rice using leftover rice 10 of the Europe's newest UNESCO World Heritage Sites Imli benefits: 8 benefits of consuming nature’s sour candy tamarind 10 healthy snacks to prepare for hosting a Diwali party Sobhita-Chaitanya's wedding festivities begin: Sobhita Dhulipala shares pictures from Haldi ceremony,http://timesofindia.indiatimes.com//city/chandigarh/drug-peddler-arrested-with-1kg-heroin/articleshow/59746078.cms
Greenfield highway plan hits roadblock,No Date,​10 spotted animals and their distinct markings​ 8 habits to train your brain for peace and happiness 10 brain-boosting activities based on ancient Indian traditions 8 Healthy South Indian dinner ideas ​10 animals that use tools to get work done like humans​ How to make perfect Lentil soup (Dal soup) for fever ​10 behavior kids copy directly from their mom​ ​10 birds with names starting with the letter M 10 health benefits of doing pranayam 10 healthy breakfasts from different parts of the world,http://timesofindia.indiatimes.com//city/chennai/greenfield-highway-plan-hits-roadblock/articleshow/64441763.cms
"HSC, SSC students get fixed time to enter exam centres",No Date,"GK for Students: Why is International Day Of Democracy celebrated on September 15? Engineers Day 2024: 6 contributions of Sir M Visvesvaraya that modernised India Top 10 Popular Online GenAI Courses Offered by Tech Giants Like Google, Meta, and Amazon 8 Common Hindi Words You Didn't Know Are Part of Everyday English ​9 Powerful Lessons for Students from the Harry Potter Series​ 10 Countries That Don't Require IELTS for Study 7 ways ChatGPT can be your study partner 10 Hindi Words Commonly Used in English That You Might Not Know ​Need to Say No to Your Boss? 9 Tactful Strategies to Consider​ Hindi Divas 2024: 10 Must-Know Facts About Hindi for Students",http://timesofindia.indiatimes.com//home/education/news/hsc-ssc-students-get-fixed-time-to-enter-exam-centres/articleshow/62859620.cms
J&K protesters influenced via social media groups run by Pak: Rajnath Singh,No Date,How to make vrat-friendly Coconut Peanut Chutney at home How to make your 'Curry patta' plant grow faster 10 plants that can be grown without soil (you only need water!) 10 countries known for their wildlife ​10 things you should never say to an older person​ ​10 stunningly beautiful parrots in the world​ 10 most iconic animals from the world of fiction and literature 10 animals that live in water 10 types of vegetable-based cheela for healthy breakfast 8 signs a child is smarter than average,http://timesofindia.indiatimes.com//india/jk-protesters-influenced-via-social-media-groups-run-by-pak-rajnath-singh/articleshow/57938034.cms
"3 held in Jharkhand, 9 sent to juvenile home",No Date,"10 indoor plants that easily live for over 50 years! 8 things kids secretly observe in their parents How to make iron and protein rich Spinach Dosa at home Are you consuming synthetic paneer? 7 smart ways to recognize fake paneer at home 8 Japanese techniques to stop overthinking and ease your mind ​8 health benefits of orange peel we are too late to learn​ ​9 health benefits of mango leaves people are learning about now​ How to stay calm under pressure, as per psychology 9 most beautiful train journeys in South India 11 animals whose name starts with the letter 'H'",http://timesofindia.indiatimes.com//city/ranchi/3-held-in-jharkhand-9-sent-to-juvenile-home/articleshow/63563200.cms
Chance arrest of migrant throws light on robbery,No Date,"10 indoor plants that easily live for over 50 years! 8 things kids secretly observe in their parents How to make iron and protein rich Spinach Dosa at home Are you consuming synthetic paneer? 7 smart ways to recognize fake paneer at home 8 Japanese techniques to stop overthinking and ease your mind ​8 health benefits of orange peel we are too late to learn​ ​9 health benefits of mango leaves people are learning about now​ How to stay calm under pressure, as per psychology 9 most beautiful train journeys in South India 11 animals whose name starts with the letter 'H'",http://timesofindia.indiatimes.com//city/thiruvananthapuram/chance-arrest-of-migrant-throws-light-on-robbery/articleshow/58850125.cms
